Hora de inicio de la toma de datos: 11:31:21
AT(s)	W	X	Y	Z
8.521	0.968481	0.041047	-0.041584	-0.242136	
8.558	0.968787	0.046511	-0.041263	-0.239971	
8.589	0.969192	0.043961	-0.041849	-0.238709	
8.614	0.969777	0.045079	-0.043347	-0.235843	
8.646	0.969735	0.049301	-0.04199	-0.235414	
8.67	0.969702	0.050339	-0.041659	-0.23539	
8.695	0.969669	0.053034	-0.042957	-0.234702	
8.722	0.969473	0.057205	-0.044122	-0.234312	
8.745	0.96922	0.058879	-0.04509	-0.234763	
8.771	0.969101	0.058671	-0.04597	-0.235134	
8.808	0.968794	0.060404	-0.047537	-0.235646	
8.833	0.968224	0.065709	-0.048487	-0.236376	
8.858	0.967674	0.069453	-0.048322	-0.237587	
8.891	0.967351	0.071985	-0.048732	-0.238065	
8.916	0.966898	0.077353	-0.048487	-0.238271	
8.94	0.966264	0.082985	-0.047282	-0.239191	
8.966	0.96562	0.086878	-0.046093	-0.240636	
8.995	0.964956	0.092162	-0.046835	-0.241188	
9.02	0.964076	0.09797	-0.046923	-0.242401	
9.045	0.963392	0.100805	-0.047434	-0.243851	
9.072	0.963015	0.101344	-0.048292	-0.244949	
9.097	0.962796	0.101174	-0.048795	-0.245777	
9.122	0.962588	0.101451	-0.049431	-0.24635	
9.146	0.962631	0.099261	-0.050197	-0.246921	
9.169	0.962893	0.093857	-0.051643	-0.24771	
9.194	0.963189	0.088791	-0.051586	-0.24844	
9.221	0.963573	0.082022	-0.050594	-0.249479	
9.257	0.964104	0.073516	-0.048659	-0.250464	
9.287	0.964714	0.066658	-0.04643	-0.250455	
9.316	0.96531	0.060918	-0.04377	-0.2501	
9.346	0.965557	0.058456	-0.043032	-0.24986	
9.37	0.965749	0.057719	-0.042592	-0.249365	
9.396	0.96589	0.057266	-0.042418	-0.248955	
9.419	0.966092	0.055781	-0.042717	-0.248456	
9.445	0.966291	0.054412	-0.043313	-0.247883	
9.482	0.966362	0.054027	-0.043774	-0.247607	
9.515	0.966327	0.053547	-0.043878	-0.247832	
9.54	0.966345	0.054182	-0.044174	-0.24757	
9.569	0.966396	0.054788	-0.043964	-0.247272	
9.607	0.966366	0.056828	-0.043971	-0.246927	
9.633	0.966231	0.059139	-0.044027	-0.246904	
