Hora de inicio de la toma de datos: 12:22:40
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
1.81 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.82 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.83 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.84 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.85 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.86 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.87 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.88 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.89 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.9 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.91 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.92 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.93 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.94 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.95 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.96 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.97 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.98 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.99 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
2 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
2.01 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
2.02 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
2.03 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
2.04 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 245 130 97 0 
2.05 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 245 130 97 0 
2.06 143 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 98 0 161 251 130 97 0 
